epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.7045,0.23813,0.96639,1,0.07596,0.000550219,0.000550219,0.000550219
2,37.8291,0.13035,0.94538,1,0.11696,0.000996403,0.000996403,0.000996403
3,49.232,0.13648,0.98739,1,0.04364,0.00133256,0.00133256,0.00133256
4,62.344,0.17481,0.97059,1,0.07559,0.0011719,0.0011719,0.0011719
5,74.4181,0.14569,0.98319,1,0.06654,0.00100687,0.00100687,0.00100687
6,86.3929,0.10331,0.98739,1,0.03366,0.000841835,0.000841835,0.000841835
7,100.487,0.09757,0.96218,1,0.07947,0.000676802,0.000676802,0.000676802
8,112.725,0.06589,0.9916,1,0.01984,0.000511769,0.000511769,0.000511769
9,126.015,0.06149,0.98319,1,0.03589,0.000346736,0.000346736,0.000346736
10,136.932,0.04966,0.98739,1,0.02797,0.000181703,0.000181703,0.000181703
