epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.603,0.96247,0.66013,1,0.68208,0.000469116,0.000469116,0.000469116
2,39.3538,0.73381,0.47712,1,1.24688,0.00085185,0.00085185,0.00085185
3,55.7572,0.6862,0.7451,1,0.54829,0.00114027,0.00114027,0.00114027
4,73.1328,0.56933,0.90196,1,0.25339,0.00100459,0.00100459,0.00100459
5,88.4472,0.52535,0.82353,1,0.34795,0.000863116,0.000863116,0.000863116
6,105.011,0.54756,0.8366,1,0.3918,0.000721645,0.000721645,0.000721645
7,120.435,0.41466,0.73856,1,0.57109,0.000580174,0.000580174,0.000580174
8,138.258,0.38852,0.87582,1,0.27991,0.000438703,0.000438703,0.000438703
9,154.017,0.34474,0.90196,1,0.25591,0.000297232,0.000297232,0.000297232
10,170.205,0.32058,0.81699,1,0.39443,0.000155761,0.000155761,0.000155761
